Colección;Número de catálogo;Tipo de error;Observaciones
IAvH;BSA-4696;(4) Sonidos no medibles;
IAvH;BSA-4739;(1) Registro de otra especie;Myiozetetes similis
IAvH;BSA-8329;(4) Sonidos no medibles;
IAvH;BSA-1175;(1) Registro de otra especie;Myiozetetes similis
IAvH;BSA-1177;(1) Registro de otra especie;Myiozetetes similis
IAvH;BSA-12890;(4) Sonidos no medibles;
IAvH;BSA-14011;(1) Registro de otra especie;Vocalización desconocida
IAvH;BSA-19152;(2) Ruido de fondo (micrófono, golpes, elementos externos);
IAvH;BSA-19293;(2) Ruido de fondo (micrófono, golpes, elementos externos);
IAvH;BSA-28717;(4) Sonidos no medibles;
IAvH;BSA-28722;(4) Sonidos no medibles;
IAvH;BSA-31568;(1) Registro de otra especie;Ara ararauna/Pitangus sulphuratus
IAvH;BSA-31638;(1) Registro de otra especie;Glaucidium brasilianum/Trogon sp.
XC;10091;(2) Ruido de fondo (micrófono, golpes, elementos externos);
XC;37321;(4) Sonidos no medibles;Ruido de fondo/datos inexactos
XC;42370;(2) Ruido de fondo (micrófono, golpes, elementos externos);
XC;43258;(5) Errores técnicos;No reconocido por Software de análisis
XC;46162;(1) Registro de otra especie;
XC;54521;(3) Ruido de fondo (otros cantos);
XC;54522;(4) Sonidos no medibles;Reclamos
XC;56458;(1) Registro de otra especie;Sin certeza en la identificación
XC;57826;(5) Errores técnicos;No hay vocalización
XC;58405;(1) Registro de otra especie;
XC;92252;(4) Sonidos no medibles;
XC;92253;(4) Sonidos no medibles;
XC;109016;(3) Ruido de fondo (otros cantos);
XC;129961;(4) Sonidos no medibles;Señales poco perceptibles (volumen muy bajo)
XC;147694;(1) Registro de otra especie;Sin certeza en la identificación
XC;167312;(4) Sonidos no medibles;
XC;197488;(4) Sonidos no medibles;
XC;226233;(1) Registro de otra especie;Sin certeza en la identificación
XC;226234;(1) Registro de otra especie;Sin certeza en la identificación
XC;248165;(4) Sonidos no medibles;
XC;248166;(4) Sonidos no medibles;
XC;248259;(4) Sonidos no medibles;
XC;262242;(3) Ruido de fondo (otros cantos);
XC;262243;(4) Sonidos no medibles;
XC;272428;(4) Sonidos no medibles;
XC;303194;(1) Registro de otra especie;Sin certeza en la identificación
XC;339479;(4) Sonidos no medibles;
XC;360727;(4) Sonidos no medibles;
XC;388413;(3) Ruido de fondo (otros cantos);
XC;390712;(1) Registro de otra especie;Sin certeza en la identificación
XC;394781;(4) Sonidos no medibles;
XC;419092;(1) Registro de otra especie;Sin certeza en el tipo de nota
XC;420112;(1) Registro de otra especie;Sin certeza en el tipo de nota
XC;423695;(4) Sonidos no medibles;
XC;433202;(4) Sonidos no medibles;
XC;433513;(2) Ruido de fondo (micrófono, golpes, elementos externos);
XC;437830;(4) Sonidos no medibles;
XC;459230;(4) Sonidos no medibles;
XC;461014;(4) Sonidos no medibles;
XC;484431;(1) Registro de otra especie;Sin certeza en el tipo de nota
XC;521301;(2) Ruido de fondo (micrófono, golpes, elementos externos);
XC;522374;(1) Registro de otra especie;Registro duplicado con IAvH BSA-8471
XC;532375;(1) Registro de otra especie;Registro duplicado con IAvH BSA-8483
XC;532376;(1) Registro de otra especie;Registro duplicado con IAvH BSA-8236
XC;537847;(4) Sonidos no medibles;
WK;60847;(5) Errores técnicos;No reconocido por Software de análisis
WK;136089;(5) Errores técnicos;No reconocido por Software de análisis
WK;158209;(1) Registro de otra especie;
WK;257982;(5) Errores técnicos;No reconocido por Software de análisis
WK;282009;(5) Errores técnicos;No reconocido por Software de análisis
WK;350190;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;373926;(5) Errores técnicos;No reconocido por Software de análisis
WK;427765;(1) Registro de otra especie;
WK;678002;(5) Errores técnicos;No reconocido por Software de análisis
WK;722695;(4) Sonidos no medibles;
WK;825378;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;966001;(4) Sonidos no medibles;
WK;970814;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;1004367;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;1020153;(5) Errores técnicos;No reconocido por Software de análisis
WK;1026286;(5) Errores técnicos;No reconocido por Software de análisis
WK;1058476;(5) Errores técnicos;No reconocido por Software de análisis
WK;1131207;(4) Sonidos no medibles;
WK;1208036;(4) Sonidos no medibles;
WK;1214471;(4) Sonidos no medibles;
WK;1272169;(4) Sonidos no medibles;
WK;1356035;(1) Registro de otra especie;Sin certeza en el tipo de nota
WK;1411341;(4) Sonidos no medibles;
WK;1459838;(4) Sonidos no medibles;
WK;1575664;(4) Sonidos no medibles;
WK;1591042;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;1627313;(5) Errores técnicos;No reconocido por Software de análisis
WK;1659206;(1) Registro de otra especie;
WK;1790156;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;1798615;(4) Sonidos no medibles;
WK;1840380;(4) Sonidos no medibles;
WK;1921181;(5) Errores técnicos;No reconocido por Software de análisis
WK;1942966;(5) Errores técnicos;No reconocido por Software de análisis
WK;1943103;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;1963339;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;1980888;(5) Errores técnicos;No reconocido por Software de análisis
WK;2014825;(5) Errores técnicos;No reconocido por Software de análisis
WK;2034013;(3) Ruido de fondo (otros cantos);
WK;2079231;(5) Errores técnicos;No reconocido por Software de análisis
WK;2132911;(4) Sonidos no medibles;
WK;2158454;(4) Sonidos no medibles;
WK;2185521;(4) Sonidos no medibles;
WK;2199235;(4) Sonidos no medibles;
WK;2289736;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;2297654;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;2445874;(1) Registro de otra especie;Sin certeza en la identificación
WK;2450669;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;2535675;(4) Sonidos no medibles;
WK;2542469;(4) Sonidos no medibles;
WK;2550030;(1) Registro de otra especie;Sin certeza en la identificación
WK;2563597;(5) Errores técnicos;No reconocido por Software de análisis
WK;2599829;(1) Registro de otra especie;Sin certeza en el tipo de nota
WK;2609587;(4) Sonidos no medibles;
WK;2612531;(4) Sonidos no medibles;
WK;2632975;(4) Sonidos no medibles;
WK;2675284;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;2800583;(4) Sonidos no medibles;
WK;2824248;(4) Sonidos no medibles;
WK;2850220;(4) Sonidos no medibles;
WK;2863733;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;2908062;(1) Registro de otra especie;Sin certeza en el tipo de nota
WK;2912401;(5) Errores técnicos;No reconocido por Software de análisis
WK;2914388;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;2938330;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;2942367;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;2980586;(4) Sonidos no medibles;
WK;2996827;(1) Registro de otra especie;Sin certeza en el tipo de nota
WK;3080642;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;3110394;(1) Registro de otra especie;Sin certeza en la identificación
WK;3142667;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;3143823;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;3182710;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;3273311;(4) Sonidos no medibles;
WK;3275256;(2) Ruido de fondo (micrófono, golpes, elementos externos);
WK;3328682;(4) Sonidos no medibles;
WK;3374857;(4) Sonidos no medibles;
WK;3400593;(4) Sonidos no medibles;
WK;3439417;(4) Sonidos no medibles;
WK;3455675;(4) Sonidos no medibles;
WK;3563016;(4) Sonidos no medibles;
WK;3574995;(5) Errores técnicos;No reconocido por Software de análisis
WK;3646085;(4) Sonidos no medibles;
WK;3696896;(2) Ruido de fondo (micrófono, golpes, elementos externos);Señales poco perceptibles (volumen muy bajo)
ML;24132;(3) Ruido de fondo (otros cantos);Anhima cornuta en primer plano
ML;38580;(3) Ruido de fondo (otros cantos);
ML;66518;(1) Registro de otra especie;Sin certeza en el tipo de nota
ML;66519;(1) Registro de otra especie;Sin certeza en el tipo de nota
ML;66520;(4) Sonidos no medibles;
ML;66523;(1) Registro de otra especie;Sin certeza en el tipo de nota
ML;66524;(1) Registro de otra especie;Sin certeza en el tipo de nota
ML;66526;(1) Registro de otra especie;Sin certeza en el tipo de nota
ML;80488;(4) Sonidos no medibles;
ML;80493;(4) Sonidos no medibles;
ML;85019;(1) Registro de otra especie;Sin certeza en el tipo de nota
ML;106242;(4) Sonidos no medibles;
ML;165958;(4) Sonidos no medibles;
ML;172502;(1) Registro de otra especie;Sin certeza en el tipo de nota
ML;247946;(2) Ruido de fondo (micrófono, golpes, elementos externos);
ML;258271;(1) Registro de otra especie;Registro duplicado con IAvH BSA-8471
ML;258283;(1) Registro de otra especie;Registro duplicado con IAvH BSA-8483
ML;260486;(1) Registro de otra especie;Registro duplicado con IAvH BSA-10690
ML;260708;(1) Registro de otra especie;Registro duplicado con IAvH BSA-10912
ML;261075;(1) Registro de otra especie;Registro duplicado con IAvH BSA-11279
ML;261182;(1) Registro de otra especie;Registro duplicado con IAvH BSA-11386
ML;261785;(1) Registro de otra especie;Registro duplicado con IAvH BSA-11989
ML;261786;(1) Registro de otra especie;Registro duplicado con IAvH BSA-11990
ML;261952;(1) Registro de otra especie;Registro duplicado con IAvH BSA-12156
ML;262679;(1) Registro de otra especie;Registro duplicado con IAvH BSA-12883
ML;262686;(1) Registro de otra especie;Registro duplicado con IAvH BSA-12890
ML;262719;(1) Registro de otra especie;Registro duplicado con IAvH BSA-12923
ML;262798;(1) Registro de otra especie;Registro duplicado con IAvH BSA-13002
ML;267024;(1) Registro de otra especie;Registro duplicado con IAvH BSA-17367
ML;267740;(1) Registro de otra especie;Registro duplicado con IAvH BSA-18860
ML;268029;(1) Registro de otra especie;Registro duplicado con IAvH BSA-19152
ML;268169;(1) Registro de otra especie;Registro duplicado con IAvH BSA-19293
ML;270609;(1) Registro de otra especie;Registro duplicado con IAvH BSA-28717
ML;270614;(1) Registro de otra especie;Registro duplicado con IAvH BSA-28722
ML;270824;(1) Registro de otra especie;Registro duplicado con IAvH BSA-28934
ML;270826;(1) Registro de otra especie;Registro duplicado con IAvH BSA-28936
ML;518390;(4) Sonidos no medibles;
ML;33303091;(5) Errores técnicos;No tiene forma de onda
ML;37125911;(4) Sonidos no medibles;
ML;51848081;(4) Sonidos no medibles;
ML;67209471;(5) Errores técnicos;No tiene forma de onda
ML;67415281;(5) Errores técnicos;No tiene forma de onda
ML;67664041;(5) Errores técnicos;No tiene forma de onda
ML;68100511;(5) Errores técnicos;No tiene forma de onda
ML;69499791;(5) Errores técnicos;No tiene forma de onda
ML;71253061;(5) Errores técnicos;No tiene forma de onda
ML;85885271;(4) Sonidos no medibles;
ML;90549611;(2) Ruido de fondo (micrófono, golpes, elementos externos);
ML;92382411;(5) Errores técnicos;No tiene forma de onda
ML;101590191;(5) Errores técnicos;No reconocido por Software de análisis
ML;101637061;(4) Sonidos no medibles;
ML;103958391;(1) Registro de otra especie;
ML;104683671;(4) Sonidos no medibles;
ML;107633871;(4) Sonidos no medibles;
ML;108698861;(1) Registro de otra especie;Sin certeza en la identificación
ML;142152131;(4) Sonidos no medibles;
ML;142552281;(4) Sonidos no medibles;
ML;178982701;(5) Errores técnicos;No tiene forma de onda
ML;183211111;(4) Sonidos no medibles;
ML;183602401;(4) Sonidos no medibles;
ML;185147471;(4) Sonidos no medibles;
ML;186428601;(2) Ruido de fondo (micrófono, golpes, elementos externos);
ML;203695961;(1) Registro de otra especie;Sin certeza en el tipo de nota
ML;203922511;(4) Sonidos no medibles;
ML;203922521;(4) Sonidos no medibles;
ML;212488401;(2) Ruido de fondo (micrófono, golpes, elementos externos);
ML;215335381;(5) Errores técnicos;No tiene forma de onda
ML;218559061;(2) Ruido de fondo (micrófono, golpes, elementos externos);
